Map,Total,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
Ascent,16,3,3,2,3,2,2,1
Bind,9,1,0,2,1,2,2,1
Haven,15,3,3,2,2,3,1,1
Icebox,10,2,2,3,1,1,0,1
Split,6,0,1,0,2,1,1,1
